Date (UTC),Block Storage / Block Volume - Backup,Block Storage / Block Volume - Free (BRL),Block Storage / Block Volume - Performance Units,Block Storage / Block Volume - Storage (BRL),Compute / Capacity Reservation - Standard - X9 - Memory (BRL),Compute / Capacity Reservation - Standard - X9 - OCPU,Compute / Custom Image Storage,Compute / Optimized - X9 (BRL),Compute / Optimized - X9 - Memory (BRL),Compute / Standard - A1 (BRL),Compute / Standard - A1 - Memory (BRL),Compute / Standard - E4,Compute / Standard - E4 - Memory,Compute / Standard - E5,Compute / Standard - E5 - Memory,Compute / Standard - E6 (BRL),Compute / Standard - E6 - Memory (BRL),Compute / Standard - X9 (BRL),Compute / Standard - X9 - Memory,Compute / Windows OS (BRL),Container Engine for Kubernetes / Container Engine for Kubernetes - Enhanced Cluster (BRL),Identity and Access Management Service / Identity and Access Management - External User - User Per Month (BRL),Key Management / Key Management Service - Key Version Counts (BRL),Load Balancer / Flexible Load Balancer Bandwidth (BRL),Load Balancer / Flexible Load Balancer Base (BRL),Load Balancer / Oracle Bare Metal Cloud - 100 Mbps Load Balancer (BRL),Logging / Logging - Storage (BRL),Marketplace / Pipefy - Private Offer (BRL),Notifications / Notifications - Email Delivery (BRL),Object Storage / Object Storage - Outbound Data Transfer Zone 2 (BRL),Object Storage / Object Storage - Requests,Object Storage / Object Storage - Storage (BRL),Telemetry / Monitoring Service - Retrieval (BRL),Virtual Cloud Network / Outbound Data Transfer Zone 2,Virtual Private Network / FastConnect 1 Gbps (BRL),Virtual Private Network / FastConnect 10 Gbps (BRL),VMware / Oracle Cloud VMware Solution - Base - BM.Standard3.16 - 3 YEARLY Commit - Node Per Hour (BRL),VMware / Oracle Cloud VMware Solution - Expansion - 3 Year Commit - OCPU Per Hour,Total 
2025-Dec,165.908911977502,0,9753.297838835955,14621.617337511529,0,0,0.13765574149,1972.190081948357,146.0883205375,0,0,0,0,3547.767962310104,814.780572416602,2815.837416,2144.077248,3248.61368,341.09082,0,203.038354999817,0,0,0,0,95.14342788,0,0,0,0,0,0.307681371103,0,0,0,10354.956104995008,102030.7914,107966.0664,260221.71121452498
2025-Nov,50.938761276766,0,17298.711126239938,25933.25645366785,0,0,0.228565504778,2337.56064,173.1456,0,0,0,0,5798.6588481466,1271.523011749999,5067.586381353301,3833.457324465698,5771.7504,606.0096,0,360.7344,0,0,0,0,169.0395264,0,0,0,0,0,0.35608600922,0,0,0,18397.4544,181388.0736,191939.6736,460398.15832481417
2025-Oct,2.761973163823,0,17817.336101546145,26710.696836507166,0,0,0.068524531502,2415.4193558617,178.90911235,0,0,0,0,4921.362849498301,1133.3114264333,3678.513910653202,2820.7690643316,5964.14208,626.20992,0,267.6959602056,0.6669475541,0,0,0,25.046805752,0,58602,0,0,0,0.106755509671,0,0,0,19010.70288,187434.34272,198337.66272,529947.7259438981
2025-Sep,0,0,16887.377418910444,25316.23174355827,0,0,0,2337.56064,173.1456,0,0,0,0,2933.657143386599,675.785626283402,67.12558932,55.753393455998,5771.7504,606.0096,0,4.5875339611,1.5905459778,0,0,0,0,0,0,0,0,0,0,0,0,0,18397.4544,181388.0736,191939.6736,446555.7768348536
2025-Aug,0,0,17255.763500622706,25861.923367164636,0,0,0,3042.128952975601,248.560065375,0,0,0,0,0,0,0,0,5964.14208,626.20992,0,0,1.3356189981,0,0,0,0,0,0,0,0,0,0,0,0,0,19010.70288,187434.34272,198337.66272,457782.77182513603
2025-Jul,0,0,17262.402816312,25861.91105185224,0,0,0,4025.0163863855,357.764697025,0,0,0,0,0,0,0,0,5964.14208,626.20992,0,0,1.1199115542,0,0,0,0,0,0,0,0,0,0,0,0,0,19010.70288,187434.34272,198337.66272,458881.2751831289
2025-Jun,0,0,16681.087272577857,25009.33011078372,0,0,0,1781.3591135369,145.1705595125,0,0,0.6967309376,0.565324225,0,0,0,0,5771.7504,606.0096,0,0,1.0337148126,0,0,0,0,0,0,0,0,0,0,0,0,0,16746.314807625,181388.0736,191939.6736,440071.06483401114
2025-May,0,0,17218.795776315143,25829.20449185412,0,0,0,0,0,0,0,0,0,0,0,0,0,5964.14208,626.20992,0,0,1.122281964,0,0,0,0,0,0,0,0,0,0,0,0,0,14258.02716,187434.34272,198337.66272,449669.50715013326
2025-Apr,0,0,18109.36648114093,27165.112831277547,0,0,0.062345075392,0,0,0,0,0,0,0,0,0,0,5771.7504,606.0096,0,0,1.0656075864,0,0,0,0,0,0,0,0,0,0.009399868987,0,0,0,13798.0908,181388.0736,191939.6736,438779.2146649492
2025-Mar,0,0,20820.198578996093,31231.520119907764,0,0,0,0,0,0,0,0,0,0,0,0,0,5964.14208,626.20992,0,0,0.0008619676,0,0,0,0,0,222186,0,0,0,0,0,0,0,14258.02716,187434.34272,198337.66272,680858.1041608715
2025-Feb,0,0,18500.818456950114,26938.96418102736,0,0,0,0,0,0,0,0,0,5948.250351875,4758.4103556167,0,0,8361.0719733378,863.007582525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8906.759882583301,169295.53536,179143.69536,422716.5135039153
2025-Jan,0,0,23371.306236352633,29825.28177185172,0,0,0,0,0,0,0,135.3892080847,32.4921149375,7156.970496,5725.34784,0,0,9542.627328,984.04416,498.2318533883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.5451806833,9505.35144,187434.34272,198337.66272,473733.5930692982
Total ,219.609646418091,0,210976.46160479996,310305.0502969639,0,0,0.4970908531620001,17911.235170708056,1422.7839548000002,0,0,136.08593902229998,33.057439162499996,30306.6676512166,14379.158832500007,11629.063297326504,8854.057030253296,74060.02498133779,7743.230562525002,498.2318533883,836.056249166517,7.9354904148,0,0,0,289.229760032,0,280788,0,0,0,0.779922758981,0,0,1184.5451806833,181654.54479520328,2121484.67748,2244894.43248,5519615.416709538
