"Start","End","Service","Amount","Unit"
"2025-06-01","2025-07-01","AWS Amplify","0.265552207","USD"
"2025-06-01","2025-07-01","AWS CloudFormation","0","USD"
"2025-06-01","2025-07-01","AWS CloudShell","0.0000063666","USD"
"2025-06-01","2025-07-01","AWS CloudTrail","77.721617","USD"
"2025-06-01","2025-07-01","AWS CodeArtifact","0","USD"
"2025-06-01","2025-07-01","AWS Config","45.672","USD"
"2025-06-01","2025-07-01","AWS Data Pipeline","12.9972223262","USD"
"2025-06-01","2025-07-01","AWS Global Accelerator","74.9070702564","USD"
"2025-06-01","2025-07-01","AWS Glue","1280.09520628","USD"
"2025-06-01","2025-07-01","AWS Key Management Service","3.9638889206","USD"
"2025-06-01","2025-07-01","AWS Lambda","69.5201836108","USD"
"2025-06-01","2025-07-01","AWS Secrets Manager","19.692456536","USD"
"2025-06-01","2025-07-01","AWS Security Hub","64.861","USD"
"2025-06-01","2025-07-01","AWS Step Functions","4.1720932478","USD"
"2025-06-01","2025-07-01","AWS Support (Business)","860.2126644513","USD"
"2025-06-01","2025-07-01","AWS X-Ray","1.85256","USD"
"2025-06-01","2025-07-01","Amazon API Gateway","61.2440902306","USD"
"2025-06-01","2025-07-01","Amazon Athena","0.01013","USD"
"2025-06-01","2025-07-01","Amazon CloudFront","0.0027678716","USD"
"2025-06-01","2025-07-01","Amazon Cognito","651.18825","USD"
"2025-06-01","2025-07-01","Amazon DynamoDB","0.6552","USD"
"2025-06-01","2025-07-01","Amazon EC2 Container Registry (ECR)","15.3446273964","USD"
"2025-06-01","2025-07-01","EC2 - Other","1123.6160799173","USD"
"2025-06-01","2025-07-01","Amazon Elastic Compute Cloud - Compute","1636.2631985919","USD"
"2025-06-01","2025-07-01","Amazon Elastic Container Service","226.5557511796","USD"
"2025-06-01","2025-07-01","Amazon Elastic File System","0.38891592","USD"
"2025-06-01","2025-07-01","Amazon Elastic Load Balancing","415.6430090894","USD"
"2025-06-01","2025-07-01","Amazon GuardDuty","6.3707405536","USD"
"2025-06-01","2025-07-01","Amazon Kinesis","122.4000012317","USD"
